id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
142574,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,2,8,8,8,8,0,0,0,8,8,0,Generic,1
160812,0.139006,sctp,-,CON,4,2,536,440,35.969669,254,60,23135.69141,12661.32324,0,0,46.335332,0.007,65.515328,0.0,0,0,0,0,0.0,0.0,0.0,134,220,0,0,1,0,1,1,1,1,0,0,0,18,1,0,Exploits,1
55903,1.051516,cbt,-,INT,4,0,360,0,2.853023,254,0,2054.177002,0.0,0,0,350.505344,0.0,495.680906,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,9,9,9,10,0,0,0,9,10,0,Exploits,1
33141,0.005092,tcp,http,FIN,8,10,1044,824,3338.570226,31,29,1435978.0,1165750.125,2,2,0.678571,0.506889,46.353079,1.023587,255,2304129645,2309320282,255,0.000665,0.000527,0.000138,131,82,1,83,2,0,4,2,1,2,0,0,1,5,2,0,Normal,0
11585,0.008237,tcp,ssh,FIN,32,24,3728,5474,6677.188602,31,29,3508073.5,5095059.0,7,7,0.26571,0.323913,14.893346,0.501832,255,2440960897,291719045,255,0.000787,0.000641,0.000146,117,228,0,0,1,0,3,1,1,3,0,0,0,1,1,0,Normal,0
133921,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,2,16,16,16,34,0,0,0,17,33,0,Generic,1
23207,0.004717,udp,-,CON,4,4,568,320,1483.994118,31,29,722493.125,407038.375,0,0,1.237,1.050667,1.739484,1.477383,0,0,0,0,0.0,0.0,0.0,142,80,0,0,16,0,8,2,1,7,0,0,0,6,12,0,Normal,0
130465,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,33,33,16,37,0,0,0,33,37,0,Generic,1
15271,0.532176,tcp,-,FIN,28,30,5048,3080,107.10742,31,29,73178.79688,44767.14453,7,7,19.698779,18.332793,1186.5385,31.089055,255,2542456820,2549729451,255,0.000652,0.000522,0.00013,180,103,0,0,9,0,7,1,1,7,0,0,0,8,7,0,Normal,0
133239,1.1e-05,udp,-,INT,2,0,1066,0,90909.0902,254,0,387636352.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,533,0,0,0,31,2,13,13,1,31,0,0,0,13,31,0,Fuzzers,1
110237,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.62,0.0,10.954508,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
22464,0.721342,tcp,-,FIN,28,30,4616,3080,79.01938,31,29,49374.63672,33027.32813,7,7,26.704888,24.852689,1598.758874,41.794219,255,3358748581,3600480478,255,0.000734,0.00061,0.000124,165,103,0,0,11,0,1,1,1,3,0,0,0,9,9,0,Normal,0
102284,1.031667,tcp,-,FIN,10,8,564,354,16.478185,254,252,3939.255615,2403.876465,2,1,114.604111,137.292859,8258.069299,202.774234,255,1587345932,829131334,255,0.138407,0.070613,0.067794,56,44,0,0,3,1,1,1,1,2,0,0,0,1,1,0,Reconnaissance,1
34508,0.061022,udp,-,CON,4,4,528,304,114.712729,31,29,51915.70313,29890.85938,0,0,15.326667,7.650333,21.665281,10.814963,0,0,0,0,0.0,0.0,0.0,132,76,0,0,8,0,1,1,1,6,0,0,0,2,12,0,Normal,0
30671,0.001078,udp,dns,CON,2,2,130,162,2782.931502,31,29,482374.7813,601113.1875,0,0,0.004,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,2,1,1,3,0,0,0,3,3,0,Normal,0
158127,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,2,17,17,17,23,0,0,0,17,23,0,Generic,1
157324,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,17,17,17,26,0,0,0,17,26,0,Generic,1
17265,7.818824,tcp,http,FIN,338,746,18058,1087890,138.511882,31,29,18422.20898,1111606.625,2,370,23.269363,10.49431,1443.224167,942.646255,255,2345499007,210688145,255,0.000707,0.00056,0.000147,53,1458,1,524288,1,0,3,1,1,5,0,0,1,6,1,0,Normal,0
31442,1.087042,tcp,http,FIN,12,18,1580,10168,26.677903,31,29,10663.80176,70679.88281,3,5,98.790457,63.912061,9628.710273,7756.412997,255,1437830261,3588433339,255,0.000702,0.000534,0.000168,132,565,1,3924,2,0,3,2,1,3,0,0,1,3,2,0,Normal,0
104099,58.79575,ospf,-,REQ,26,0,2808,0,0.425201,254,0,367.373505,0.0,0,0,2462.9945,0.0,2571.657,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,6,1,1,1,2,0,0,0,1,1,0,DoS,1
82233,4e-06,unas,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,5,4,4,14,0,0,0,5,11,0,Backdoor,1
